Total number of words: 30006
Word frequencies:
buck: 1
buff: 3
building: 2
built: 2
bull: 1
bumping: 1
bunches: 1
bundle: 5
burdensome: 1
burial: 2
buried: 3
burning: 1
burnt: 1
burst: 2
burying: 1
business: 23
bustle: 1
busy: 5
but: 179
butlers: 1
butter: 1
button: 1
buttoning: 1
buttons: 2
buy: 5
by: 131
bye: 4
bygone: 1
cab: 2
cable: 1
cains: 1
cake: 2
caked: 1
cakes: 1
caleb: 1
calendar: 1
calico: 1
call: 4
called: 12
calling: 5
calm: 1
calmly: 1
calves: 1
camden: 2
came: 46
can: 32
candied: 1
candle: 7
candles: 1
canisters: 1
cannon: 1
cannot: 7
canst: 1
cant: 1
cap: 5
capable: 1
capacious: 3
capacity: 1
capital: 1
captive: 1
card: 1
care: 6
cared: 1
carefully: 1
carelessly: 1
cares: 2
careworn: 1
caricature: 2
caricatures: 1
caring: 2
carol: 9
caroline: 2
carriages: 1
carried: 5
carrier: 1
carriers: 1
carry: 3
carrying: 1
carts: 3
carving: 1
case: 5
cash: 1
cask: 1
casks: 1
cast: 3
cat: 2
catch: 3
catching: 2
caught: 4
cause: 2
caused: 2
caustic: 1
cautiously: 1
caverns: 1
ceased: 4
ceiling: 3
celebrated: 1
celestial: 1
cell: 1
cellar: 3
cellars: 1
centre: 2
certain: 4
certainly: 4
cesspools: 1
chafed: 1
chain: 10
chains: 3
chair: 7
chairs: 3
chaise: 1
chalked: 1
challenge: 1
chamber: 4
chambers: 2
chance: 7
change: 9
changed: 6
changing: 1
channels: 1
chapel: 1
character: 1
characterisation: 1
characterization: 1
characters: 5
charcoal: 1
charge: 2
charged: 1
charitable: 1
charity: 1
charles: 1
charm: 1
charmingly: 1
charwoman: 1
chatham: 1
chattering: 2
cheap: 3
cheapness: 1
cheats: 1
checked: 1
cheek: 3
cheeked: 1
cheer: 2
cheerful: 9
cheerfully: 1
cheerfulness: 1
cheery: 1
cheese: 1
cherry: 1
chestnuts: 5
chief: 2
child: 25
childish: 3
children: 21
chill: 1
chilling: 1
chilly: 1
chime: 1
chimes: 3
chimney: 3
chimneys: 1
chin: 6
chink: 1
chinked: 1
chirping: 1
chirrup: 1
choice: 1
choked: 4
choose: 2
choosing: 1
chorus: 1
chose: 2
chosen: 1
christian: 3
christmas: 96
chrysolite: 1
chuckle: 5
chuckled: 1
church: 10
churches: 1
churchyard: 1
cinnamon: 1
circle: 1
city: 12
clad: 1
claim: 1
clang: 1
clanked: 1
clanking: 1
clap: 1
clapped: 2
clapping: 3
clash: 3
clasped: 5
clasping: 1
claw: 2
clear: 11
cleared: 3
clearest: 1
clearly: 5
clergyman: 1
clerk: 16
clever: 1
clicking: 1
climate: 1
cling: 1
clock: 11
clocks: 1
close: 8
closed: 5
closely: 3
closet: 2
cloth: 3
clothed: 1
clothes: 4
cloud: 1
clouds: 2
clucked: 1
clue: 1
clung: 2
clustered: 3
clutching: 2
co: 1
coach: 3
coaches: 1
coal: 3
coarse: 1
coat: 4
coats: 1
cock: 2
coffee: 1
coffin: 1
coil: 1
cold: 30
colder: 1
coldest: 1
collapsed: 1
collar: 1
collars: 3
colour: 4
combined: 1
combustion: 1
come: 36
comedy: 1
comely: 1
comes: 4
comfort: 3
comfortable: 3
comforter: 5
comforts: 1
comic: 1
comical: 1
coming: 16
command: 1
committed: 1
common: 3
communicated: 1
compactness: 1
companion: 1
companions: 1
company: 11
competent: 1
composed: 1
compound: 1
compounded: 1
comprehensive: 2
compulsion: 1
concealed: 2
condemn: 1
condemned: 1
condensed: 1
condescension: 1
condition: 2
conducive: 1
conduct: 5
conducted: 2
conducting: 2
conference: 1
conferred: 1
confess: 2
confidence: 1
confidential: 1
conflict: 1
confronting: 1
confused: 1
congealed: 1
congenial: 1
connected: 3
connecting: 1
conscious: 4
consciousness: 2
consent: 2
consequence: 2
consequences: 1
consequently: 1
consider: 1
considered: 1
considering: 1
consistent: 1
consolation: 1
conspicuous: 1
constantly: 1
contagious: 1
contained: 1
content: 3
contented: 1
contents: 1
continued: 2
contortions: 1
contract: 1
contracted: 1
contradiction: 1
contrary: 1
contrasting: 1
control: 1
convenience: 1
convenient: 2
conversation: 2
conversations: 1
conversed: 1
conveyed: 3
convinced: 2
cook: 1
cooked: 1
cooking: 2
cooks: 1
coolly: 1
copies: 1
copper: 2
copy: 1
copying: 1
copyright: 1
cordially: 1
core: 1
cork: 1
corner: 10
corners: 1
cornhill: 1
corporation: 1
corpse: 1
correct: 2
corroborated: 1
corrupted: 1
cost: 2
cosy: 1
couch: 1
could: 64
couldn: 9
count: 3
countenance: 1
counter: 3
countess: 1
counting: 6
country: 3
couple: 4
couples: 1
courage: 1
course: 6
courses: 2
court: 5
courts: 1
cousin: 1
cousins: 1
cover: 1
covered: 3
covering: 1
coverley: 1
covers: 1
covetous: 1
cow: 1
cracked: 2
cracking: 1
crackled: 1
crammed: 1
cramp: 1
crashing: 1
cratchit: 37
cratchits: 14
cravat: 2
creation: 3
creature: 5
creatures: 3
credentials: 2
creditor: 1
credulity: 2
creek: 1
crept: 1
cricket: 4
cried: 56
crime: 1
cripple: 1
crisis: 1
crisp: 2
cross: 2
crossed: 3
crossing: 1
crowded: 1
crowds: 1
crown: 4
crumb: 1
crushed: 1
crusoe: 3
crutch: 3
cry: 3
crying: 2
cuff: 1
cuffs: 1
cultivate: 1
cultivated: 1
cup: 1
cupola: 1
curiosity: 1
curiously: 3
curls: 1
curtaining: 1
curtains: 12
curtsy: 1
custard: 1
custom: 1
customers: 1
cut: 6
d: 11
dainties: 1
damaged: 1
damascus: 1
damp: 1
dance: 8
danced: 1
dancers: 1
dances: 2
dangle: 1
dangling: 1
dare: 3
dark: 21
darker: 1
darkest: 1
darkness: 7
darned: 1
darting: 1
dash: 1
dashed: 1
dashing: 1
daughter: 4
daughters: 4
daws: 1
day: 43
daylight: 1
days: 9
de: 1
dead: 18
deadest: 1
deafened: 1
deal: 3
dealing: 2
dealings: 1
dealt: 1
dear: 26
dearly: 1
dears: 2
death: 12
debt: 1
decanter: 1
decayed: 1
deceased: 1
december: 1
decide: 1
decides: 1
decked: 1
declension: 1
decorated: 1
decrease: 2
deeds: 3
deep: 8
defenceless: 1
deference: 1
defiance: 1
deftly: 1
defy: 1
degradation: 1
degree: 3
degrees: 1
delay: 1
deliberating: 1
delicate: 1
delicately: 1
delicious: 2
delight: 6
delighted: 2
delightful: 2
demanded: 3
demeanour: 1
demons: 1
demurely: 1
den: 1
dense: 2
deny: 2
departed: 2
depend: 1
deposit: 1
depressed: 1
deprive: 1
depths: 1
der: 1
derived: 1
descended: 1
descending: 2
described: 2
desert: 1
deserted: 1
deserves: 1
designed: 1
desirable: 1
desire: 4
desired: 2
desk: 3
desks: 1
desolation: 1
despairingly: 1
desperate: 1
despoil: 1
despondent: 1
dessert: 1
destitute: 1
detach: 1
detained: 1
detestation: 1
deuce: 3
developed: 1
development: 1
devils: 1
devote: 1
dialogue: 1
dick: 7
dickens: 8
did: 49
didn: 10
die: 9
died: 4
dies: 1
different: 3
difficult: 1
diffuse: 1
dig: 1
dilber: 5
dim: 2
diminished: 1
dimly: 1
dimpled: 1
dine: 3
ding: 6
dingy: 2
dining: 3
dinner: 12
dinners: 3
dip: 1
direction: 1
directions: 1
directly: 1
dirge: 1
dirt: 1
dirtier: 1
dirty: 1
disagreeable: 1
disappointed: 1
disclaimed: 1
disclosed: 2
discovered: 1
discuss: 1
disdaining: 1
disease: 1
disgorged: 1
disgust: 1
dish: 1
dishes: 1
disinterested: 1
disjointed: 1
dislike: 2
dismal: 5
dismay: 1
dismayed: 1
dismiss: 2
dismissed: 1
dismounted: 1
disorder: 1
dispatched: 1
dispelled: 2
displaced: 2
display: 1
disposed: 1
dissolving: 1
distance: 4
distinct: 2
distinctly: 1
distinctness: 1
distinguish: 1
distracting: 1
distress: 1
disturb: 1
disturbed: 2
disused: 1
dive: 1
divert: 1
diverted: 1
do: 59
dog: 3
dogged: 1
dogs: 2
doing: 2
doings: 1
doll: 1
domestic: 1
dominion: 1
don: 42
done: 26
dong: 6
doom: 1
doomed: 1
door: 45
